image_path,original_class,focusdrive_class,class_name,image_name
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_55158.jpg,c1,1,Distracted,img_55158.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_82082.jpg,c5,1,Distracted,img_82082.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_81274.jpg,c5,1,Distracted,img_81274.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_40743.jpg,c4,1,Distracted,img_40743.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_97170.jpg,c3,1,Distracted,img_97170.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_17107.jpg,c3,1,Distracted,img_17107.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_5627.jpg,c7,1,Distracted,img_5627.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_2890.jpg,c3,1,Distracted,img_2890.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_70836.jpg,c8,1,Distracted,img_70836.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_19905.jpg,c7,1,Distracted,img_19905.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_21533.jpg,c4,1,Distracted,img_21533.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_49672.jpg,c2,1,Distracted,img_49672.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_11212.jpg,c6,1,Distracted,img_11212.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_24030.jpg,c9,1,Distracted,img_24030.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_16486.jpg,c0,0,Attentive,img_16486.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_4054.jpg,c0,0,Attentive,img_4054.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_28612.jpg,c4,1,Distracted,img_28612.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_32698.jpg,c2,1,Distracted,img_32698.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_10420.jpg,c8,1,Distracted,img_10420.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_78131.jpg,c0,0,Attentive,img_78131.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_92022.jpg,c3,1,Distracted,img_92022.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_65923.jpg,c9,1,Distracted,img_65923.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_42381.jpg,c6,1,Distracted,img_42381.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_58155.jpg,c4,1,Distracted,img_58155.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_74250.jpg,c1,1,Distracted,img_74250.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_40776.jpg,c9,1,Distracted,img_40776.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_98139.jpg,c3,1,Distracted,img_98139.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_71613.jpg,c4,1,Distracted,img_71613.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_73427.jpg,c3,1,Distracted,img_73427.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_36907.jpg,c7,1,Distracted,img_36907.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_27903.jpg,c6,1,Distracted,img_27903.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_21528.jpg,c6,1,Distracted,img_21528.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_26602.jpg,c4,1,Distracted,img_26602.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_97789.jpg,c0,0,Attentive,img_97789.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_104.jpg,c0,0,Attentive,img_104.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_79195.jpg,c2,1,Distracted,img_79195.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_64883.jpg,c8,1,Distracted,img_64883.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_4850.jpg,c2,1,Distracted,img_4850.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_24249.jpg,c3,1,Distracted,img_24249.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_37756.jpg,c3,1,Distracted,img_37756.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_65842.jpg,c8,1,Distracted,img_65842.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_13634.jpg,c9,1,Distracted,img_13634.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_59251.jpg,c2,1,Distracted,img_59251.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_5969.jpg,c5,1,Distracted,img_5969.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_8521.jpg,c5,1,Distracted,img_8521.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_98285.jpg,c5,1,Distracted,img_98285.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_36746.jpg,c9,1,Distracted,img_36746.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_76401.jpg,c9,1,Distracted,img_76401.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_3644.jpg,c2,1,Distracted,img_3644.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_25438.jpg,c8,1,Distracted,img_25438.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_82970.jpg,c1,1,Distracted,img_82970.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_1761.jpg,c9,1,Distracted,img_1761.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_89562.jpg,c3,1,Distracted,img_89562.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_101240.jpg,c9,1,Distracted,img_101240.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_31104.jpg,c7,1,Distracted,img_31104.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_1644.jpg,c7,1,Distracted,img_1644.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_96889.jpg,c4,1,Distracted,img_96889.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_73338.jpg,c1,1,Distracted,img_73338.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_41920.jpg,c1,1,Distracted,img_41920.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_18523.jpg,c0,0,Attentive,img_18523.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_75104.jpg,c3,1,Distracted,img_75104.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_8281.jpg,c7,1,Distracted,img_8281.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_39373.jpg,c5,1,Distracted,img_39373.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_8574.jpg,c4,1,Distracted,img_8574.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_79050.jpg,c1,1,Distracted,img_79050.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_11622.jpg,c2,1,Distracted,img_11622.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_37663.jpg,c5,1,Distracted,img_37663.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_76704.jpg,c0,0,Attentive,img_76704.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_17933.jpg,c1,1,Distracted,img_17933.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_74116.jpg,c0,0,Attentive,img_74116.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_72384.jpg,c7,1,Distracted,img_72384.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_85888.jpg,c0,0,Attentive,img_85888.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_77498.jpg,c0,0,Attentive,img_77498.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_60973.jpg,c3,1,Distracted,img_60973.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_67234.jpg,c9,1,Distracted,img_67234.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_45285.jpg,c3,1,Distracted,img_45285.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_42460.jpg,c1,1,Distracted,img_42460.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_67219.jpg,c0,0,Attentive,img_67219.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_40697.jpg,c9,1,Distracted,img_40697.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_95760.jpg,c0,0,Attentive,img_95760.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_78388.jpg,c6,1,Distracted,img_78388.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_93769.jpg,c5,1,Distracted,img_93769.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_96117.jpg,c6,1,Distracted,img_96117.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_18055.jpg,c9,1,Distracted,img_18055.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_28077.jpg,c8,1,Distracted,img_28077.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_14397.jpg,c3,1,Distracted,img_14397.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_45560.jpg,c7,1,Distracted,img_45560.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_54686.jpg,c6,1,Distracted,img_54686.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_31429.jpg,c2,1,Distracted,img_31429.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_100108.jpg,c2,1,Distracted,img_100108.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_24818.jpg,c3,1,Distracted,img_24818.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_89950.jpg,c4,1,Distracted,img_89950.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_4365.jpg,c8,1,Distracted,img_4365.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_45355.jpg,c9,1,Distracted,img_45355.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_49090.jpg,c6,1,Distracted,img_49090.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_47406.jpg,c4,1,Distracted,img_47406.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_11549.jpg,c7,1,Distracted,img_11549.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_17819.jpg,c1,1,Distracted,img_17819.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_97983.jpg,c9,1,Distracted,img_97983.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_41118.jpg,c5,1,Distracted,img_41118.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_83325.jpg,c6,1,Distracted,img_83325.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_36292.jpg,c6,1,Distracted,img_36292.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_64844.jpg,c8,1,Distracted,img_64844.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_97519.jpg,c0,0,Attentive,img_97519.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_69457.jpg,c1,1,Distracted,img_69457.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_14654.jpg,c9,1,Distracted,img_14654.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_81515.jpg,c2,1,Distracted,img_81515.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_44397.jpg,c5,1,Distracted,img_44397.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_17139.jpg,c1,1,Distracted,img_17139.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_1689.jpg,c2,1,Distracted,img_1689.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_10078.jpg,c4,1,Distracted,img_10078.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_28335.jpg,c6,1,Distracted,img_28335.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_35548.jpg,c3,1,Distracted,img_35548.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_42508.jpg,c4,1,Distracted,img_42508.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_49746.jpg,c2,1,Distracted,img_49746.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_100374.jpg,c3,1,Distracted,img_100374.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_40654.jpg,c1,1,Distracted,img_40654.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_18330.jpg,c3,1,Distracted,img_18330.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_14159.jpg,c8,1,Distracted,img_14159.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_99288.jpg,c7,1,Distracted,img_99288.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_30548.jpg,c2,1,Distracted,img_30548.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_15760.jpg,c0,0,Attentive,img_15760.jpg
